route_id,service_id,trip_id,trip_headsign,shape_id,block_id
19,1744,2193834:564467:568436,Cataraqui Centre,880,568436
802,1746,2204165:564468:568935,Express - Montreal Street Park & Ride,1312,568935
10,1745,2183695:564469:568385,Cataraqui Centre,1396,568385
16,1745,2183494:564470:568940,First Canada,1849,568940
4,1745,2184089:564471:568434,Cataraqui Centre via Princess St,1499,568434
601,1755,2181277:564473:568390,Express - Queen's/KGH via CFB Kingston,1832,568390
502,1755,2199528:564474:568300,Express - Cataraqui Centre via Princess,1501,568300
802,1746,2204181:564476:568991,Express - Montreal Street Park & Ride,1312,568991
801,1744,2193262:564478:569000,Express - Cataraqui Centre via Brock/Bath,1468,569000
16,1755,2192721:564479:568424,St. Lawrence College,1853,568424
15,1745,2183454:564480:568451,Centre 70 Park & Ride,1841,568451
32,1744,2192989:564481:568290,St. Lawrence College,1773,568290
16,1746,2203980:564482:568979,First Canada,1849,568979
502,1746,2203593:564483:568944,Express - Cataraqui Centre via Princess,1501,568944
31,1744,2193653:564484:568383,Providence Care Hospital,1763,568383
22,1760,2183559:564485:569203,A - Innovation / Highway 15,1725,569203
32,1744,2193018:564486:568513,St. Lawrence College,1773,568513
502,1744,2192841:564487:568395,Express - Downtown via Bayridge/Front,1516,568395
2,1755,2199582:564488:568414,Division Street,1784,568414
13,1745,2194855:564490:568320,Cataraqui North,1441,568320
501,1755,2199381:564491:568261,Express - Cataraqui Centre via Front/Bayridge,1506,568261
10,1745,2183688:564492:568385,Cataraqui Centre,1396,568385
701,1744,2193126:564493:568911,Express - Cataraqui Centre via Brock/Bath,1377,568911
10,1744,2193807:564494:568533,Amherstview,1362,568533
13,1759,2194570:564495:569212,Cataraqui North,1441,569212
7,1745,2183675:564497:568318,Cataraqui Centre,1394,568318
1,1745,2183234:564498:568396,Montreal Street,1778,568396
16,1745,2183506:564499:568434,St. Lawrence College,1853,568434
31,1755,2181061:564500:568532,Providence Care Hospital,1763,568532
4,1745,2183522:564501:568309,Downtown via Princess St,1170,568309
501,1746,2203519:564502:569188,Express - Downtown via Princess St,1117,569188
602,1744,2193941:564503:568489,Express - Innovation / Highway 15 via CFB,1576,568489
702,1745,2183972:564504:568940,Express - King's Crossing via Division,1584,568940
